id,value
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Asp",D13.444.735.757.700.090
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Cys",D13.444.735.757.700.200
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Gln",D13.444.735.757.700.400
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Glu",D13.444.735.757.700.410
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Gly",D13.444.735.757.700.420
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, His",D13.444.735.757.700.450
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Ile",D13.444.735.757.700.480
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Leu",D13.444.735.757.700.500
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Lys",D13.444.735.757.700.510
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Met",D13.444.735.757.700.525
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Phe",D13.444.735.757.700.650
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Pro",D13.444.735.757.700.660
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Ser",D13.444.735.757.700.700
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Thr",D13.444.735.757.700.725
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Trp",D13.444.735.757.700.740
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Tyr",D13.444.735.757.700.750
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Val",D13.444.735.757.700.900
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acyl",D13.444.735.757.715
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated",D13.444.735.790
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.RNA, Catalytic",D13.444.735.790.199
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.RNA, Long Noncoding",D13.444.735.790.375
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.RNA, Small Untranslated",D13.444.735.790.552
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.RNA, Small Untranslated.MicroRNAs",D13.444.735.790.552.500
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.RNA, Small Untranslated.MicroRNAs.Circulating MicroRNA",D13.444.735.790.552.500.500
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.RNA, Small Untranslated.RNA, Guide",D13.444.735.790.552.625
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.RNA, Small Untranslated.RNA, Small Cytoplasmic",D13.444.735.790.552.750
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.RNA, Small Untranslated.RNA, Small Interfering",D13.444.735.790.552.875
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.RNA, Small Untranslated.RNA, Small Nuclear",D13.444.735.790.552.937
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.RNA, Small Untranslated.RNA, Small Nuclear.RNA, Small Nucleolar",D13.444.735.790.552.937.800
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.RNA, Small Untranslated.RNA, Spliced Leader",D13.444.735.790.552.968
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.Untranslated Regions",D13.444.735.790.878
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.Untranslated Regions.3' Untranslated Regions",D13.444.735.790.878.880
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.Untranslated Regions.5' Untranslated Regions",D13.444.735.790.878.885
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.Untranslated Regions.Regulatory Sequences, Ribonucleic Acid",D13.444.735.790.878.942
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.Untranslated Regions.Regulatory Sequences, Ribonucleic Acid.Internal Ribosome Entry Sites",D13.444.735.790.878.942.250
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Untranslated.Untranslated Regions.Regulatory Sequences, Ribonucleic Acid.Riboswitch",D13.444.735.790.878.942.500
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Viral",D13.444.735.828
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides",D13.570
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Arabinonucleosides",D13.570.065
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Arabinonucleosides.Arabinofuranosyluracil",D13.570.065.090
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Arabinonucleosides.Cytarabine",D13.570.065.300
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Arabinonucleosides.Cytarabine.Ancitabine",D13.570.065.300.050
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Arabinonucleosides.Vidarabine",D13.570.065.950
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Deoxyribonucleosides",D13.570.230
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Deoxyribonucleosides.Deoxyadenosines",D13.570.230.229
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Deoxyribonucleosides.Deoxyadenosines.Cladribine",D13.570.230.229.075
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Deoxyribonucleosides.Deoxyadenosines.Dideoxyadenosine",D13.570.230.229.105
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Deoxyribonucleosides.Deoxyadenosines.Puromycin Aminonucleoside",D13.570.230.229.650
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Deoxyribonucleosides.Deoxycytidine",D13.570.230.329
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Deoxyribonucleosides.Deoxycytidine.Bromodeoxycytidine",D13.570.230.329.100
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Deoxyribonucleosides.Deoxycytidine.Capecitabine",D13.570.230.329.313
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Deoxyribonucleosides.Deoxycytidine.Emtricitabine",D13.570.230.329.525
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Deoxyribonucleosides.Deoxycytidine.Emtricitabine.Elvitegravir, Cobicistat, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",D13.570.230.329.525.250
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleosides.Deoxyribonucleosides.Deoxycytidine.Emtricitabine.Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",D13.570.230.329.525.500
